Friend 1,Friend 2
1,555
1,921
1,213
1,184
1,242
1,402
1,399
1,84
1,55
2,752
2,539
2,535
2,391
2,91
2,414
2,534
2,918
3,71
3,705
3,695
3,729
3,608
3,508
3,802
3,775
3,902
3,744
3,673
4,428
4,125
4,665
4,120
4,670
4,679
4,249
4,15
4,319
5,509
5,455
5,819
5,204
5,530
5,810
6,347
6,862
6,266
6,432
6,578
6,750
6,687
6,724
6,509
6,387
6,49
7,286
7,153
7,269
7,30
7,33
7,1000
7,203
7,474
7,579
7,294
7,220
8,310
8,363
8,477
8,61
8,151
8,446
8,335
8,930
8,797
8,809
8,677
9,339
9,852
9,173
9,196
9,180
9,628
9,532
9,365
9,668
9,830
9,716
9,908
10,509
10,362
10,322
10,578
10,280
10,421
10,424
10,402
10,495
11,203
11,775
11,475
11,753
11,965
11,948
11,455
11,762
11,208
11,92
11,168
11,48
11,463
11,307
12,180
12,646
12,800
12,487
12,331
12,701
12,468
12,70
13,616
13,88
13,764
13,217
13,455
13,838
14,976
14,807
14,137
14,495
14,530
14,809
14,551
14,664
14,801
14,767
14,900
14,365
14,361
14,103
15,780
15,675
15,5
15,506
15,246
15,349
15,977
15,669
15,107
15,616
15,103
15,821
15,12
16,405
16,748
16,541
16,354
16,797
16,589
16,222
16,547
16,639
16,584
16,20
16,663
16,19
16,984
17,248
17,982
17,46
17,549
17,167
17,408
17,377
17,89
17,690
17,362
17,795
18,793
18,847
18,622
18,39
18,786
18,35
19,590
19,337
19,472
19,580
19,473
19,599
19,934
19,982
19,284
19,906
19,210
19,319
19,380
20,438
20,692
20,678
20,509
20,79
20,144
20,645
20,449
20,402
20,921
20,63
20,304
21,444
21,184
21,60
21,585
21,693
21,606
21,938
21,631
21,392
22,31
22,417
22,527
22,636
22,173
22,178
22,173
22,175
22,664
23,119
23,928
23,904
23,144
23,191
23,797
23,754
23,739
23,940
23,453
23,335
23,646
24,612
24,133
24,4
24,683
24,12
24,744
24,26
25,811
25,291
25,332
25,154
25,227
25,528
25,686
25,45
26,216
26,46
26,420
26,450
26,736
26,679
26,32
26,798
26,716
26,47
27,774
27,322
27,201
27,431
27,463
27,460
28,544
28,9
28,968
28,407
28,983
28,290
28,381
28,448
28,676
28,695
28,502
29,628
29,268
29,236
29,135
29,979
29,474
29,981
30,75
30,421
30,122
30,944
30,637
31,540
31,233
31,226
31,505
31,839
31,193
31,684
31,278
31,892
31,457
31,587
31,575
31,592
31,268
32,201
32,986
32,598
32,313
32,42
32,483
32,696
32,175
32,25
33,411
33,584
33,872
33,943
33,677
33,560
33,566
34,531
34,476
34,545
34,611
34,771
34,422
35,905
35,45
35,197
35,609
35,233
35,369
35,715
35,706
35,95
35,825
35,845
36,533
36,112
36,188
36,165
36,521
36,809
36,350
36,729
36,555
36,725
36,185
36,899
36,385
37,228
37,734
37,473
37,878
37,26
37,790
37,813
37,793
37,944
37,747
38,775
38,411
38,864
38,262
38,977
38,384
38,976
38,697
38,526
38,94
38,245
38,512
38,551
38,24
39,614
39,960
39,234
39,691
39,576
39,624
39,230
39,917
39,175
39,373
39,751
39,693
39,230
40,286
40,831
40,973
40,990
40,249
40,497
40,691
40,725
40,940
40,503
40,613
40,197
41,930
41,327
41,898
41,55
41,144
41,458
41,320
41,17
42,571
42,824
42,179
42,564
42,298
42,747
42,69
42,670
42,162
42,600
43,187
43,889
43,285
43,211
43,140
43,132
43,159
43,373
43,495
43,49
44,547
44,405
44,104
44,342
44,397
44,583
44,908
44,18
44,821
44,138
44,521
44,125
45,504
45,681
45,477
45,714
45,646
45,519
45,686
46,557
46,337
46,747
46,912
46,529
46,314
46,756
46,560
46,972
46,879
47,749
47,666
47,3
47,580
47,986
47,602
47,835
47,72
48,360
48,533
48,295
48,889
48,458
48,19
48,962
48,43
48,104
48,163
48,105
48,646
49,191
49,515
49,968
49,509
49,830
49,316
49,657
49,356
49,279
49,704
49,250
49,659
49,219
50,290
50,334
50,29
50,267
50,426
50,879
51,164
51,406
51,702
51,376
51,622
51,965
51,438
51,581
52,147
52,34
52,659
52,267
52,968
52,737
52,596
52,521
53,403
53,982
53,829
53,833
53,321
53,326
53,700
53,994
53,478
53,188
53,317
54,831
54,269
54,636
54,945
54,756
54,12
54,490
55,230
55,30
55,946
55,234
55,960
55,320
55,378
56,883
56,854
56,710
56,596
56,712
56,862
56,525
56,940
56,704
56,671
57,826
57,91
57,939
57,15
57,824
57,269
57,772
57,921
57,336
57,89
57,813
58,282
58,903
58,249
58,408
58,668
58,511
58,329
58,848
59,574
59,201
59,141
59,346
59,566
59,718
59,118
59,846
59,528
59,80
59,681
59,872
59,795
59,524
60,627
60,746
60,154
60,532
60,591
60,292
60,454
61,97
61,252
61,635
61,610
61,624
61,838
61,317
61,551
61,575
61,9
61,881
61,333
61,245
62,142
62,616
62,932
62,538
62,232
62,314
62,259
62,603
62,821
62,563
62,364
62,925
63,442
63,822
63,589
63,872
63,195
63,957
63,82
63,567
63,577
63,483
63,688
63,769
64,206
64,111
64,842
64,163
64,731
64,657
64,873
64,92
64,523
65,76
65,315
65,992
65,760
65,440
66,886
66,805
66,293
66,65
66,388
66,210
66,772
66,736
66,274
66,129
67,358
67,196
67,427
67,398
67,144
67,840
67,967
68,155
68,420
68,78
68,340
68,348
68,765
69,602
69,873
69,19
69,759
69,742
69,817
69,300
69,482
69,852
69,349
69,188
69,56
69,497
70,960
70,723
70,908
70,935
70,180
70,523
70,483
70,271
70,220
70,918
70,653
71,276
71,497
71,795
71,973
71,397
71,158
71,400
71,609
71,851
71,263
71,254
71,631
72,276
72,959
72,160
72,679
72,505
72,290
72,740
72,439
72,528
73,923
73,474
73,491
73,973
73,311
73,698
73,146
73,788
73,333
73,138
73,427
73,682
74,258
74,322
74,194
74,759
74,721
74,168
74,926
74,627
74,753
74,193
74,981
75,121
75,948
75,56
75,611
75,153
75,349
75,918
75,44
76,154
76,764
76,297
76,578
76,414
76,859
77,880
77,918
